position,class,rel_laps,lap_delta,gap,rel_pitstops_completed,laps_remaining_in_stint
1,HY,41,-13.5,76,-2,9
2,HY,40,-14.299999999999997,78,0,12
3,HY,40,-13.099999999999994,6,-1,6
4,HY,39,-13.299999999999997,41,2,24
5,HY,39,-14.0,23,0,26
6,HY,37,-13.5,59,2,24
7,HY,36,-12.799999999999997,38,-2,26
8,HY,33,-11.899999999999991,74,1,24
9,HY,33,-12.0,67,2,5
10,HY,32,-12.799999999999997,75,1,9
11,HY,30,-13.200000000000003,9,0,26
12,HY,29,-11.5,23,1,7
13,GT3,7,-2.5,21,-1,3
14,GT3,6,-1.7000000000000028,-2,0,7
15,GT3,4,-1.0,56,-1,9
16,GT3,1,0.10000000000000853,22,-2,11
17,GT3,1,7.1000000000000085,-9,-1,26
18,GT3,0,0.4000000000000057,86,-1,18
19,GT3,0,-1.5,53,0,16
20,GT3,0,0.0,0,0,24
21,GT3,-1,-0.20000000000000284,7,-1,21
22,GT3,-2,1.0,45,-2,17
23,GT3,-4,0.6000000000000085,3,-2,13
24,GT3,-6,1.4000000000000057,33,1,11
25,GT3,-7,1.4000000000000057,-7,1,25
26,GT3,-11,1.4000000000000057,31,0,16
27,GT3,-11,11.799999999999997,2,0,9
28,GT3,-13,2.5,24,4,17
29,GT3,-15,11.799999999999997,-9,9,26
30,GT3,-23,4.299999999999997,61,1,20
31,GT3,-27,-0.20000000000000284,25,-2,5
